Title,Priority,Precondition,Description,CreatedAt,UpdatedAt,ModuleID,TestPlanID
Verify user can proceed to checkout,Low,User has items in the shopping cart,Attempt to remove product from cart and verify success message is displayed.,2022-02-03T10:55:50Z,2024-04-16T06:50:26Z,666017adf902bdf00016abc3,66601d7f32c5408430429d1a
Verify currency conversion accuracy for USD to EUR,High,User is on the login page,View product details and verify all information is displayed correctly.,2021-07-23T11:53:56Z,2024-03-15T16:19:44Z,666017adf902bdf00016abc4,66601d7f32c5408430429d1b
Verify product reviews are displayed correctly,Medium,User has items in the shopping cart,Check if product price is displayed accurately with correct currency format.,2021-04-10T06:46:33Z,2023-03-21T21:53:02Z,666017adf902bdf00016abc3,66601d7f32c5408430429d1a
Verify search functionality returns correct results,Medium,User is on the product search page,Attempt to remove product from cart and verify success message is displayed.,2022-12-12T14:32:44Z,2023-09-12T09:41:52Z,666017adf902bdf00016abc7,66601d7f32c5408430429d1a
Verify currency conversion accuracy for USD to EUR,Medium,User is on the currency conversion page,Attempt to add product to cart and verify success message is displayed.,2021-09-16T19:05:52Z,2024-02-25T23:59:44Z,666017adf902bdf00016abc0,66601d7f32c5408430429d19
Verify search functionality handles empty query,Medium,User is on the registration page,Leave search query empty and verify appropriate message is displayed.,2021-05-14T01:59:12Z,2023-08-09T04:06:39Z,666017adf902bdf00016abc2,66601d7f32c5408430429d19
Verify user can proceed to checkout,High,User is on the product details page,Attempt to proceed to checkout and verify correct redirection to checkout page. Enter valid discount code and verify discount is applied correctly.,2022-06-19T01:09:26Z,2023-08-13T09:12:03Z,666017adf902bdf00016abc4,66601d7f32c5408430429d1a
Verify user can add product to cart,Low,User is on the currency conversion page,View product details and verify all information is displayed correctly.,2022-03-16T18:49:50Z,2024-07-25T20:15:39Z,666017adf902bdf00016abc7,66601d7f32c5408430429d1b
Verify product price is displayed correctly,Low,User is on the registration page,Enter valid payment details and verify successful purchase completion.,2021-05-19T19:23:56Z,2024-02-09T09:14:36Z,666017adf902bdf00016abc8,66601d7f32c5408430429d1a
Verify search functionality handles empty query,Medium,User is on the product details page,Leave search query empty and verify appropriate message is displayed.,2022-09-01T04:27:18Z,2023-09-10T12:53:57Z,666017adf902bdf00016abc8,66601d7f32c5408430429d1a
Verify product images are displayed correctly,Low,User has items in the shopping cart,Attempt to add product to cart and verify success message is displayed.,2022-12-16T07:28:09Z,2023-12-28T07:02:39Z,666017adf902bdf00016abc6,66601d7f32c5408430429d19
Verify search functionality handles empty query,High,User is on the registration page,Enter valid payment details and verify successful purchase completion.,2021-05-25T05:59:16Z,2024-03-08T22:59:41Z,666017adf902bdf00016abc6,66601d7f32c5408430429d19
Verify product details page handles invalid product ID,Low,User is on the product details page,Enter invalid data and verify error message.,2021-04-24T20:24:56Z,2023-12-28T14:44:51Z,666017adf902bdf00016abc8,66601d7f32c5408430429d1b
Verify login with invalid credentials,High,User is on the registration page,Attempt to remove product from cart and verify success message is displayed.,2022-08-06T05:40:27Z,2024-04-20T02:50:51Z,666017adf902b,66601d7f32c5408430429d1b
Verify product details page handles invalid product ID,High,User is on the currency conversion page,Attempt to remove product from cart and verify success message is displayed.,2022-05-25T18:32:10Z,2024-03-08T19:35:06Z,666017adf902bdf00016abc3,66601d7f32c5408430429d1b
Verify user can add product to cart,Low,User is on the registration page,Enter valid payment details and verify successful purchase completion.,2021-01-02T08:00:50Z,2023-12-09T03:30:18Z,666017adf902bdf00016abc3,66601d7f32c5408430429d1a
Verify registration with valid data,Medium,User is on the registration page,Leave search query empty and verify appropriate message is displayed.,2022-07-30T20:06:01Z,2023-02-07T02:40:09Z,666017adf902bdf00016abc6,66601d7f32c5408430429d1b
Verify registration with valid data,Low,User is on the login page,Attempt to proceed to checkout and verify correct redirection to checkout page. Enter valid discount code and verify discount is applied correctly.,2021-11-02T03:51:29Z,2023-08-23T06:32:57Z,666017adf902bdf00016abc0,66601d7f32c5408430429d19
Verify login with invalid credentials,Low,User has items in the shopping cart,Enter invalid data and verify error message.,2022-09-23T22:20:46Z,2023-06-03T09:03:19Z,666017adf902bdf00016abc8,66601d7f32c5408430429d1a
Verify product availability status is accurate,Low,User is on the product details page,Enter EUR amount and verify accurate conversion to USD.,2021-04-18T04:35:34Z,2023-11-24T15:09:23Z,666017adf902bdf00016abc6,66601d7f32c5408430429d19
Verify product reviews are sorted by date,Low,User is on the registration page,Enter invalid username and password and verify error message.,2022-06-26T05:57:35Z,2023-06-12T01:56:30Z,666017adf902bdf00016abc0,66601d7f32c5408430429d19
Verify registration with valid data,High,User has items in the shopping cart,Attempt to proceed to checkout and verify correct redirection to checkout page. Enter valid discount code and verify discount is applied correctly.,2022-07-03T16:41:06Z,2024-01-17T03:19:35Z,666017adf902b,66601d7f32c5408430429d19
Verify product reviews are sorted by date,Medium,User is on the registration page,Enter valid username and password and verify successful login.,2022-10-28T08:43:37Z,2023-04-11T21:33:44Z,666017adf902b,66601d7f32c5408430429d1a
Verify currency conversion accuracy for USD to EUR,Medium,User is on the login page,Attempt to remove product from cart and verify success message is displayed.,2021-04-20T10:10:19Z,2023-10-20T15:29:52Z,666017adf902bdf00016abc6,66601d7f32c5408430429d1a
Verify product price is displayed correctly,Medium,User has items in the shopping cart,Check if product availability status is updated in real-time.,2022-09-21T04:55:28Z,2024-05-11T01:15:34Z,666017adf902bdf00016abc3,66601d7f32c5408430429d19
Verify user can remove product from cart,Medium,User is on the product search page,Check if product price is displayed accurately with correct currency format.,2021-12-24T02:42:32Z,2023-11-23T14:14:21Z,666017adf902b,66601d7f32c5408430429d1b
Verify product details page handles invalid product ID,Low,User is on the product search page,Check if product price is displayed accurately with correct currency format.,2021-05-13T02:26:42Z,2023-02-15T03:07:56Z,666017adf902bdf00016abc2,66601d7f32c5408430429d1b
Verify login with invalid credentials,Medium,User is on the product search page,Attempt to proceed to checkout and verify correct redirection to checkout page. Enter valid discount code and verify discount is applied correctly.,2022-04-28T21:41:41Z,2023-07-14T02:36:55Z,666017adf902b,66601d7f32c5408430429d1b
Verify product details page handles invalid product ID,Medium,User is on the currency conversion page,Enter invalid product ID and verify appropriate message is displayed.,2022-10-24T20:13:01Z,2023-07-16T03:47:51Z,666017adf902b,66601d7f32c5408430429d19
Verify user can add product to cart,Low,User is on the product details page,View product details and verify all information is displayed correctly.,2021-05-09T14:07:00Z,2024-07-03T03:11:36Z,666017adf902bdf00016abc5,66601d7f32c5408430429d19
Verify search functionality handles empty query,High,User is on the currency conversion page,Enter valid payment details and verify successful purchase completion.,2022-12-04T01:15:49Z,2024-06-19T16:40:48Z,666017adf902bdf00016abc7,66601d7f32c5408430429d1a
Verify registration with valid data,Medium,User is on the checkout page,Enter valid payment details and verify successful purchase completion.,2021-12-10T03:37:00Z,2024-01-08T09:37:29Z,666017adf902bdf00016abc1,66601d7f32c5408430429d19
Verify registration with valid data,Low,User is on the registration page,Check if product reviews are sorted by date in descending order.,2021-06-13T06:45:51Z,2024-08-11T21:08:39Z,666017adf902bdf00016abc0,66601d7f32c5408430429d1b
Verify product reviews are displayed correctly,Low,User is on the product search page,Enter invalid data and verify error message.,2021-07-20T20:50:42Z,2023-07-03T02:12:35Z,666017adf902b,66601d7f32c5408430429d1a
Verify product reviews are sorted by date,High,User is on the product search page,Check if product reviews are sorted by date in descending order.,2021-06-08T13:48:44Z,2024-05-09T12:05:33Z,666017adf902bdf00016abc6,66601d7f32c5408430429d19
Verify product images are displayed correctly,High,User is on the product details page,Enter valid username and password and verify successful login.,2021-04-04T16:15:11Z,2023-08-02T19:16:15Z,666017adf902bdf00016abc2,66601d7f32c5408430429d1b
Verify login with invalid credentials,Low,User is on the checkout page,Enter invalid product ID and verify appropriate message is displayed.,2022-07-15T16:29:36Z,2024-07-15T03:53:24Z,666017adf902bdf00016abc5,66601d7f32c5408430429d1b
Verify product details page handles invalid product ID,Low,User has items in the shopping cart,Attempt to proceed to checkout and verify correct redirection to checkout page. Enter valid discount code and verify discount is applied correctly.,2021-11-17T21:40:50Z,2024-06-08T05:41:04Z,666017adf902bdf00016abc5,66601d7f32c5408430429d19
Verify product details page handles invalid product ID,Low,User is on the currency conversion page,Attempt to add product to cart and verify success message is displayed.,2022-10-31T14:32:25Z,2023-03-29T03:50:37Z,666017adf902bdf00016abc1,66601d7f32c5408430429d1a
Verify search functionality returns correct results,Low,User is on the product search page,Enter EUR amount and verify accurate conversion to USD.,2021-11-01T16:00:53Z,2024-07-17T13:26:17Z,666017adf902bdf00016abc5,66601d7f32c5408430429d1b
Verify user can remove product from cart,High,User is on the product search page,Enter invalid username and password and verify error message.,2022-04-11T22:34:14Z,2024-01-24T20:57:30Z,666017adf902bdf00016abc8,66601d7f32c5408430429d1a
Verify registration with valid data,High,User is on the product search page,Enter invalid data and verify error message.,2022-04-17T17:53:09Z,2023-09-20T16:39:57Z,666017adf902bdf00016abc0,66601d7f32c5408430429d1b
Verify product details are displayed correctly,Medium,User is on the registration page,Enter search query and verify correct products are displayed.,2021-01-11T20:36:36Z,2023-11-04T02:57:39Z,666017adf902bdf00016abc8,66601d7f32c5408430429d19
Verify currency conversion accuracy for USD to EUR,Medium,User is on the currency conversion page,View product reviews and verify they are displayed correctly.,2021-12-05T18:51:28Z,2024-06-06T06:35:04Z,666017adf902bdf00016abc2,66601d7f32c5408430429d1b
Verify product details page handles invalid product ID,Medium,User is on the currency conversion page,Attempt to add product to cart and verify success message is displayed.,2021-04-22T21:52:21Z,2024-07-10T17:55:55Z,666017adf902bdf00016abc5,66601d7f32c5408430429d19
Verify user can remove product from cart,High,User is on the registration page,Attempt to proceed to checkout and verify correct redirection to checkout page. Enter valid discount code and verify discount is applied correctly.,2021-07-08T23:21:17Z,2024-02-02T03:18:47Z,666017adf902bdf00016abc3,66601d7f32c5408430429d1b
Verify product reviews are displayed correctly,High,User is on the product search page,Enter invalid username and password and verify error message.,2021-12-23T21:43:10Z,2023-04-22T20:05:40Z,666017adf902bdf00016abc4,66601d7f32c5408430429d19
Verify user can remove product from cart,High,User is on the checkout page,Leave search query empty and verify appropriate message is displayed.,2021-03-12T04:46:13Z,2024-05-07T21:35:09Z,666017adf902bdf00016abc5,66601d7f32c5408430429d1a
Verify login with invalid credentials,Medium,User is on the checkout page,Enter EUR amount and verify accurate conversion to USD.,2021-09-03T07:05:25Z,2023-09-10T12:03:22Z,666017adf902b,66601d7f32c5408430429d1b
Verify user can proceed to checkout,High,User has items in the shopping cart,Check if product price is displayed accurately with correct currency format.,2022-08-10T18:28:42Z,2024-06-28T17:25:27Z,666017adf902bdf00016abc6,66601d7f32c5408430429d1b
Verify user can complete purchase,Medium,User is on the product search page,Attempt to add product to cart and verify success message is displayed.,2022-04-27T16:35:01Z,2023-04-05T07:17:33Z,666017adf902bdf00016abc6,66601d7f32c5408430429d1b
Verify login with invalid credentials,High,User has items in the shopping cart,Enter valid username and password and verify successful login.,2022-04-05T18:36:01Z,2023-10-09T23:14:10Z,666017adf902bdf00016abc1,66601d7f32c5408430429d1a
Verify search functionality handles empty query,Low,User is on the login page,View product reviews and verify they are displayed correctly.,2021-09-26T07:23:24Z,2023-11-23T04:31:04Z,666017adf902b,66601d7f32c5408430429d1b
Verify currency conversion accuracy for USD to EUR,Low,User is on the product details page,Enter valid username and password and verify successful login.,2021-06-14T09:16:55Z,2023-01-12T09:35:21Z,666017adf902bdf00016abc5,66601d7f32c5408430429d1a
Verify user can apply discount code,Medium,User is on the product details page,Attempt to remove product from cart and verify success message is displayed.,2021-03-16T02:15:18Z,2023-03-01T13:37:12Z,666017adf902bdf00016abc1,66601d7f32c5408430429d19
Verify product price is displayed correctly,Low,User is on the product details page,Attempt to add product to cart and verify success message is displayed.,2022-12-22T18:35:05Z,2024-05-12T14:02:47Z,666017adf902bdf00016abc1,66601d7f32c5408430429d1b
Verify user can add product to cart,Low,User is on the checkout page,Enter valid username and password and verify successful login.,2022-04-23T14:22:36Z,2023-02-20T08:39:50Z,666017adf902bdf00016abc2,66601d7f32c5408430429d1b
Verify currency conversion accuracy for EUR to USD,High,User is on the currency conversion page,View product details and verify all information is displayed correctly.,2022-05-20T04:07:36Z,2023-10-05T04:23:40Z,666017adf902bdf00016abc8,66601d7f32c5408430429d1b
Verify user can complete purchase,Medium,User has items in the shopping cart,Enter invalid data and verify error message.,2022-11-17T19:49:38Z,2024-07-24T01:14:51Z,666017adf902bdf00016abc3,66601d7f32c5408430429d19
Verify product reviews are sorted by date,Low,User is on the registration page,Check if product reviews are sorted by date in descending order.,2021-11-04T12:29:13Z,2024-04-01T23:50:56Z,666017adf902bdf00016abc3,66601d7f32c5408430429d1a
Verify login with valid credentials,High,User is on the product details page,View product details and verify all information is displayed correctly.,2022-04-19T01:56:35Z,2024-03-31T12:02:13Z,666017adf902bdf00016abc0,66601d7f32c5408430429d19
Verify currency conversion accuracy for EUR to USD,Low,User is on the checkout page,Enter USD amount and verify accurate conversion to EUR.,2022-07-07T02:33:59Z,2023-02-02T13:51:54Z,666017adf902bdf00016abc0,66601d7f32c5408430429d19
Verify search functionality returns correct results,Medium,User is on the product details page,Attempt to remove product from cart and verify success message is displayed.,2022-01-27T08:16:02Z,2023-12-20T19:15:45Z,666017adf902bdf00016abc3,66601d7f32c5408430429d1a
Verify product details page handles invalid product ID,Medium,User is on the product search page,Enter invalid data and verify error message.,2022-06-12T13:42:24Z,2023-09-15T15:10:50Z,666017adf902bdf00016abc3,66601d7f32c5408430429d1b
Verify product details are displayed correctly,High,User is on the product details page,View product reviews and verify they are displayed correctly.,2021-04-17T05:13:55Z,2023-08-24T01:14:20Z,666017adf902bdf00016abc6,66601d7f32c5408430429d1a
Verify search functionality returns correct results,Medium,User is on the checkout page,Leave search query empty and verify appropriate message is displayed.,2021-03-07T03:44:19Z,2024-02-13T04:55:13Z,666017adf902bdf00016abc2,66601d7f32c5408430429d1a
Verify product details are displayed correctly,Medium,User is on the checkout page,View product details and verify all information is displayed correctly.,2021-10-10T12:06:28Z,2024-07-29T14:51:59Z,666017adf902bdf00016abc6,66601d7f32c5408430429d19
Verify product details are displayed correctly,Medium,User has items in the shopping cart,Attempt to add product to cart and verify success message is displayed.,2021-12-22T14:43:25Z,2024-01-30T06:41:03Z,666017adf902bdf00016abc8,66601d7f32c5408430429d19
Verify product details are displayed correctly,Low,User is on the checkout page,Enter valid username and password and verify successful login.,2022-12-19T13:28:45Z,2023-01-08T14:33:41Z,666017adf902bdf00016abc3,66601d7f32c5408430429d19
Verify product reviews are sorted by date,Low,User is on the checkout page,View product details and verify all information is displayed correctly.,2022-08-31T05:51:43Z,2024-03-20T21:15:22Z,666017adf902bdf00016abc8,66601d7f32c5408430429d19
Verify product details page handles invalid product ID,Low,User is on the product details page,Attempt to add product to cart and verify success message is displayed.,2021-09-04T02:06:23Z,2023-12-11T00:02:53Z,666017adf902bdf00016abc4,66601d7f32c5408430429d19
Verify user can apply discount code,Medium,User has items in the shopping cart,Check if product availability status is updated in real-time.,2021-01-07T03:47:56Z,2023-02-04T16:35:17Z,666017adf902bdf00016abc8,66601d7f32c5408430429d19
Verify product availability status is accurate,Medium,User is on the login page,Enter valid data and verify successful registration.,2021-09-20T15:51:33Z,2023-01-18T10:54:23Z,666017adf902bdf00016abc4,66601d7f32c5408430429d19
Verify currency conversion accuracy for EUR to USD,High,User is on the login page,View product details and verify all information is displayed correctly.,2021-01-03T21:33:45Z,2023-10-26T01:59:51Z,666017adf902bdf00016abc0,66601d7f32c5408430429d1b
Verify product availability status is accurate,Medium,User is on the product search page,Enter search query and verify correct products are displayed.,2022-01-04T10:29:28Z,2024-03-20T18:51:12Z,666017adf902bdf00016abc7,66601d7f32c5408430429d19
Verify search functionality handles empty query,Low,User has items in the shopping cart,Attempt to add product to cart and verify success message is displayed.,2022-10-29T13:00:06Z,2023-09-05T02:33:23Z,666017adf902bdf00016abc7,66601d7f32c5408430429d1a
Verify registration with valid data,Medium,User is on the registration page,Check if product availability status is updated in real-time.,2021-01-22T10:58:50Z,2023-01-24T07:47:49Z,666017adf902bdf00016abc0,66601d7f32c5408430429d19
Verify login with valid credentials,Medium,User is on the checkout page,Enter valid payment details and verify successful purchase completion.,2022-05-20T19:02:01Z,2023-03-25T11:56:47Z,666017adf902bdf00016abc8,66601d7f32c5408430429d19
Verify product images are displayed correctly,Medium,User is on the currency conversion page,Check if product price is displayed accurately with correct currency format.,2021-06-25T14:12:19Z,2024-01-26T04:38:04Z,666017adf902bdf00016abc7,66601d7f32c5408430429d1b
Verify product images are displayed correctly,High,User is on the checkout page,Enter valid data and verify successful registration.,2022-11-06T04:00:30Z,2024-05-24T18:54:59Z,666017adf902bdf00016abc3,66601d7f32c5408430429d19
Verify user can add product to cart,Low,User is on the currency conversion page,Check if product price is displayed accurately with correct currency format.,2022-03-27T15:44:02Z,2024-01-12T21:23:34Z,666017adf902bdf00016abc0,66601d7f32c5408430429d19
Verify user can proceed to checkout,High,User has items in the shopping cart,Check if product price is displayed accurately with correct currency format.,2022-02-26T06:04:28Z,2024-07-05T12:40:05Z,666017adf902bdf00016abc0,66601d7f32c5408430429d1a
Verify product details page handles invalid product ID,Medium,User has items in the shopping cart,Attempt to proceed to checkout and verify correct redirection to checkout page. Enter valid discount code and verify discount is applied correctly.,2021-05-10T06:57:23Z,2024-04-02T14:55:21Z,666017adf902bdf00016abc5,66601d7f32c5408430429d1a
Verify user can complete purchase,Low,User has items in the shopping cart,Attempt to remove product from cart and verify success message is displayed.,2021-08-01T05:18:15Z,2023-08-25T16:59:05Z,666017adf902bdf00016abc3,66601d7f32c5408430429d1b
Verify user can proceed to checkout,Medium,User is on the product details page,Enter valid payment details and verify successful purchase completion.,2022-04-25T15:03:40Z,2023-12-05T14:48:40Z,666017adf902bdf00016abc8,66601d7f32c5408430429d1b
Verify product price is displayed correctly,Medium,User is on the currency conversion page,Leave search query empty and verify appropriate message is displayed.,2021-12-24T19:15:00Z,2023-04-04T01:09:36Z,666017adf902bdf00016abc3,66601d7f32c5408430429d1b
Verify login with invalid credentials,Medium,User is on the product details page,Enter EUR amount and verify accurate conversion to USD.,2021-04-13T14:44:28Z,2023-09-20T07:02:30Z,666017adf902bdf00016abc4,66601d7f32c5408430429d19
Verify user can complete purchase,Medium,User is on the checkout page,Enter valid username and password and verify successful login.,2021-05-19T04:30:48Z,2023-04-09T23:01:18Z,666017adf902bdf00016abc8,66601d7f32c5408430429d19
Verify registration with invalid data,Low,User is on the login page,Check if product price is displayed accurately with correct currency format.,2022-09-24T19:02:01Z,2024-03-09T19:15:30Z,666017adf902bdf00016abc6,66601d7f32c5408430429d1a
Verify search functionality handles empty query,High,User is on the login page,Leave search query empty and verify appropriate message is displayed.,2021-10-16T06:06:46Z,2023-04-28T16:21:57Z,666017adf902bdf00016abc8,66601d7f32c5408430429d1a
Verify product price is displayed correctly,Medium,User is on the checkout page,View product reviews and verify they are displayed correctly.,2022-08-04T10:27:26Z,2024-06-28T04:12:52Z,666017adf902bdf00016abc8,66601d7f32c5408430429d19
Verify user can apply discount code,High,User is on the product search page,Enter valid username and password and verify successful login.,2022-01-26T06:42:04Z,2023-02-03T20:08:38Z,666017adf902bdf00016abc6,66601d7f32c5408430429d1a
Verify registration with valid data,High,User is on the checkout page,Enter valid payment details and verify successful purchase completion.,2022-12-21T01:23:23Z,2024-07-02T13:17:07Z,666017adf902b,66601d7f32c5408430429d19
Verify product images are displayed correctly,Medium,User has items in the shopping cart,Enter EUR amount and verify accurate conversion to USD.,2022-05-25T05:35:13Z,2024-02-13T18:10:33Z,666017adf902bdf00016abc7,66601d7f32c5408430429d1b
Verify currency conversion accuracy for EUR to USD,High,User is on the product search page,Attempt to add product to cart and verify success message is displayed.,2022-03-18T04:38:01Z,2023-02-28T15:19:24Z,666017adf902bdf00016abc3,66601d7f32c5408430429d19
Verify registration with valid data,Medium,User is on the checkout page,Enter search query and verify correct products are displayed.,2021-06-12T00:30:27Z,2024-04-03T18:59:09Z,666017adf902bdf00016abc0,66601d7f32c5408430429d1a
Verify registration with valid data,High,User is on the registration page,Check if product availability status is updated in real-time.,2021-09-08T13:41:34Z,2024-06-27T14:45:10Z,666017adf902bdf00016abc7,66601d7f32c5408430429d1a
Verify product availability status is accurate,Medium,User is on the currency conversion page,Attempt to add product to cart and verify success message is displayed.,2021-10-08T16:41:32Z,2023-01-29T09:28:41Z,666017adf902bdf00016abc7,66601d7f32c5408430429d19
Verify product availability status is accurate,Low,User is on the product search page,Enter invalid username and password and verify error message.,2022-04-11T04:25:20Z,2024-02-20T01:02:33Z,666017adf902bdf00016abc2,66601d7f32c5408430429d19
Verify user can proceed to checkout,High,User is on the product details page,Leave search query empty and verify appropriate message is displayed.,2022-04-08T07:46:24Z,2023-07-08T13:06:38Z,666017adf902b,66601d7f32c5408430429d19
Verify login with invalid credentials,Medium,User is on the registration page,Enter EUR amount and verify accurate conversion to USD.,2021-07-08T13:47:54Z,2023-11-14T03:39:03Z,666017adf902bdf00016abc0,66601d7f32c5408430429d1a
Verify registration with invalid data,Low,User is on the login page,Enter USD amount and verify accurate conversion to EUR.,2021-02-07T21:18:02Z,2023-03-27T23:05:51Z,666017adf902bdf00016abc6,66601d7f32c5408430429d1a
Verify search functionality handles empty query,Low,User has items in the shopping cart,Attempt to proceed to checkout and verify correct redirection to checkout page. Enter valid discount code and verify discount is applied correctly.,2022-07-19T02:59:15Z,2023-12-13T18:26:49Z,666017adf902bdf00016abc0,66601d7f32c5408430429d19
Verify user can remove product from cart,Medium,User is on the registration page,Check if product availability status is updated in real-time.,2021-05-31T21:27:10Z,2023-04-30T11:42:38Z,666017adf902bdf00016abc8,66601d7f32c5408430429d19
Verify product price is displayed correctly,Low,User is on the currency conversion page,Check if product price is displayed accurately with correct currency format.,2022-04-28T22:00:43Z,2023-01-20T06:00:03Z,666017adf902bdf00016abc6,66601d7f32c5408430429d1b
Verify registration with valid data,Medium,User is on the product details page,Enter invalid data and verify error message.,2021-04-18T22:52:10Z,2023-06-22T15:57:07Z,666017adf902bdf00016abc2,66601d7f32c5408430429d19
Verify search functionality handles empty query,High,User is on the registration page,Check if product price is displayed accurately with correct currency format.,2021-08-30T07:28:25Z,2023-12-02T13:41:01Z,666017adf902bdf00016abc0,66601d7f32c5408430429d1a
Verify product reviews are displayed correctly,Low,User is on the registration page,Attempt to add product to cart and verify success message is displayed.,2022-12-26T19:02:56Z,2024-05-25T07:52:05Z,666017adf902bdf00016abc3,66601d7f32c5408430429d1b
Verify registration with valid data,Low,User is on the checkout page,Leave search query empty and verify appropriate message is displayed.,2022-07-29T08:13:35Z,2023-11-22T04:56:21Z,666017adf902bdf00016abc0,66601d7f32c5408430429d19
Verify registration with invalid data,High,User is on the registration page,Enter USD amount and verify accurate conversion to EUR.,2022-03-27T22:01:02Z,2023-10-13T11:16:20Z,666017adf902bdf00016abc2,66601d7f32c5408430429d1a
Verify registration with valid data,Low,User is on the registration page,Attempt to remove product from cart and verify success message is displayed.,2021-04-19T10:44:40Z,2024-08-09T05:02:04Z,666017adf902bdf00016abc0,66601d7f32c5408430429d1a
Verify user can proceed to checkout,Low,User is on the registration page,Leave search query empty and verify appropriate message is displayed.,2021-01-09T07:51:35Z,2024-02-13T16:04:12Z,666017adf902bdf00016abc6,66601d7f32c5408430429d1b
