Title,Category,Status,Priority,StartDate,EndDate,IssueType,Severity,Environment,Description,CreatedAt,UpdatedAt,AssignedTo,TestRunID
Fix broken links on product details page,Bug,In Progress,Low,4/7/2023,10/8/2023,Performance,Critical,QA,"Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat. In congue. Etiam justo.",2022-09-15T07:20:40Z,2022-06-16T20:45:56Z,666011d01cc6e634de0ff70d,6660219ed70be
Fix broken links on product details page,Task,In Progress,Medium,7/8/2023,10/3/2023,Functionality,Major,Production,"Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus. Pellentesque at nulla. Suspendisse potenti.",2021-03-14T20:10:55Z,2022-11-30T16:54:12Z,665f39f9eef319f64ee080f6,6660219ed70be
Add tracking code for user interactions,Task,Closed,High,8/16/2023,12/26/2022,Tracking,Minor,Development,Aliquam non mauris. Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet.,2022-05-10T23:39:20Z,2024-06-29T10:55:52Z,666011d01cc6e634de0ff70d,6660219ed70bea06e9ff6ae5
Add tracking code for user interactions,Bug,Closed,High,7/9/2023,8/16/2024,SEO,Critical,Staging,"Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem. Fusce consequat. Nulla nisl. Nunc nisl. Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa.",2021-01-12T12:53:52Z,2022-03-03T00:34:41Z,666011d01cc6e634de0ff70d,6660219ed70bea06e9ff6ae1
Implement pagination for search results,Bug,Closed,Medium,8/28/2023,5/11/2023,SEO,Minor,Production,"Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris. Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis. Fusce posuere felis sed lacus.",2021-12-11T00:28:22Z,2023-09-14T19:31:16Z,666011d01cc6e634de0ff70d,6660219ed70bea06e9ff6ae3
Improve search functionality,Bug,Closed,Medium,4/30/2023,3/15/2023,Console Error,Major,Staging,"Aenean fermentum. Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh. Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros. Vestibulum ac est lacinia nisi venenatis tristique.",2021-05-30T04:45:03Z,2024-02-16T06:23:37Z,666011d01cc6e634de0ff70d,6660219ed70bea06e9ff6ae0
Improve search functionality,Improvement,Open,Medium,3/1/2023,4/12/2024,Console Error,Critical,Staging,"In sagittis dui vel nisl. Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus. Suspendisse potenti. In eleifend quam a odio. In hac habitasse platea dictumst. Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem.",2022-01-28T14:02:27Z,2023-08-15T11:20:41Z,665f39f9eef319f64ee080f6,6660219ed70bea06e9ff6ade
Product image not loading on details page,Improvement,Open,High,10/6/2022,1/25/2023,Tracking,Major,Production,"Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero. Nullam sit amet turpis elementum ligula vehicula consequat.",2021-04-03T02:37:39Z,2024-08-07T15:23:46Z,666011d01cc6e634de0ff70d,6660219ed70bea06e9ff6ade
Optimize database queries,Improvement,In Progress,Low,3/6/2023,8/5/2024,Functionality,Critical,QA,"Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est.",2022-03-14T02:53:09Z,2024-01-11T17:08:07Z,665f39f9eef319f64ee080f6,6660219ed70bea06e9ff6ae8
Update UI design for homepage,Bug,Closed,Medium,4/16/2023,9/21/2023,UI/Design,Major,QA,In eleifend quam a odio. In hac habitasse platea dictumst. Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem. Quisque ut erat.,2021-08-11T18:24:11Z,2023-08-27T23:09:05Z,665f39f9eef319f64ee080f6,6660219ed70bea06e9ff6ae8
Add tracking code for user interactions,Improvement,Open,High,10/2/2022,10/10/2022,Console Error,Minor,Staging,"Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque. Duis bibendum. Morbi non quam nec dui luctus rutrum. Nulla tellus. In sagittis dui vel nisl.",2021-08-26T03:39:00Z,2022-03-09T11:24:13Z,666011d01cc6e634de0ff70d,6660219ed70bea06e9ff6ae9
Add tracking code for user interactions,Task,Open,Medium,4/27/2023,11/7/2023,Tracking,Minor,QA,Nulla facilisi. Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque.,2022-06-24T22:44:44Z,2022-04-06T21:13:32Z,665f39f9eef319f64ee080f6,6660219ed70bea06e9ff6ae5
Add tracking code for user interactions,Improvement,In Progress,Medium,3/5/2023,12/23/2022,Tracking,Minor,Development,"Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem. Fusce consequat. Nulla nisl.",2022-10-18T04:36:06Z,2024-02-08T20:31:02Z,666011d01cc6e634de0ff70d,6660219ed70bea06e9ff6ae1
Implement pagination for search results,Bug,Open,Medium,10/2/2022,12/5/2022,Performance,Minor,Staging,"Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl. Aenean lectus.",2021-01-27T16:50:12Z,2024-07-02T07:25:10Z,665f39f9eef319f64ee080f6,6660219ed70bea06e9ff6ae5
Update error messages for login,Improvement,Closed,Low,12/7/2022,8/7/2023,Functionality,Major,Staging,"Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis. Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl.",2022-05-16T18:31:51Z,2022-12-15T23:14:20Z,665f39f9eef319f64ee080f6,6660219ed70bea06e9ff6adb
Update UI design for homepage,Task,Closed,High,7/3/2023,5/29/2024,Console Error,Minor,Staging,Aliquam non mauris. Morbi non lectus.,2021-03-13T20:35:52Z,2022-07-14T18:06:31Z,666011d01cc6e634de0ff70d,6660219ed70bea06e9ff6ad8
Login button not responsive,Improvement,Open,High,5/29/2023,1/22/2023,Server Error,Major,Staging,"Vivamus vel nulla eget eros elementum pellentesque. Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus. Phasellus in felis. Donec semper sapien a libero.",2022-04-13T03:35:09Z,2024-02-11T04:44:18Z,665f39f9eef319f64ee080f6,6660219ed70bea06e9ff6ade
Improve search functionality,Bug,Closed,High,8/22/2022,1/21/2023,Server Error,Minor,Development,"Aenean auctor gravida sem. Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo. Morbi ut odio. Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",2021-10-01T10:13:32Z,2024-01-16T12:06:37Z,666011d01cc6e634de0ff70d,6660219ed70bea06e9ff6ad8
Add tracking code for user interactions,Improvement,Open,High,8/7/2022,4/12/2023,Functionality,Major,Staging,"Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis. Fusce posuere felis sed lacus.",2022-01-30T21:39:32Z,2024-04-01T19:07:57Z,665f39f9eef319f64ee080f6,6660219ed70bea06e9ff6ae3
Product image not loading on details page,Improvement,Open,Medium,7/16/2023,4/10/2024,Performance,Critical,Development,Quisque ut erat. Curabitur gravida nisi at nibh. In hac habitasse platea dictumst.,2021-11-24T01:38:44Z,2022-05-15T20:08:51Z,666011d01cc6e634de0ff70d,6660219ed70bea06e9ff6ad9
Optimize database queries,Task,Open,High,6/21/2023,7/3/2023,Functionality,Critical,Development,"Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui. Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam.",2021-08-12T04:03:18Z,2024-06-22T19:52:04Z,665f39f9eef319f64ee080f6,6660219ed70bea06e9ff6ae8
Fix broken links on product details page,Bug,Open,High,4/7/2023,6/29/2023,Console Error,Major,Development,"Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus. Pellentesque at nulla. Suspendisse potenti. Cras in purus eu magna vulputate luctus.",2021-01-21T17:55:55Z,2024-01-20T15:39:00Z,665f39f9eef319f64ee080f6,6660219ed70bea06e9ff6ad9
Improve search functionality,Task,Closed,Medium,5/18/2023,5/20/2024,Performance,Major,Development,"Morbi a ipsum. Integer a nibh. In quis justo. Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet. Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo.",2021-05-25T10:13:17Z,2023-10-19T20:06:31Z,666011d01cc6e634de0ff70d,6660219ed70bea06e9ff6adb
Implement pagination for search results,Improvement,In Progress,High,8/21/2023,6/26/2023,Functionality,Critical,Development,"Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti.",2021-12-21T05:12:13Z,2022-04-13T18:29:14Z,666011d01cc6e634de0ff70d,6660219ed70bea06e9ff6ae7
Implement pagination for search results,Bug,Closed,Low,11/25/2022,5/28/2024,Tracking,Critical,Production,"Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus.",2022-01-26T13:57:11Z,2024-01-05T03:34:06Z,666011d01cc6e634de0ff70d,6660219ed70bea06e9ff6ae8
Fix broken links on product details page,Bug,Open,High,8/4/2022,8/22/2023,Functionality,Critical,QA,"Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus. Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci.",2021-08-07T06:44:40Z,2023-08-19T18:14:13Z,665f39f9eef319f64ee080f6,6660219ed70bea06e9ff6ae5
Product image not loading on details page,Improvement,Closed,High,10/12/2022,5/1/2023,UI/Design,Minor,Staging,Etiam pretium iaculis justo. In hac habitasse platea dictumst. Etiam faucibus cursus urna.,2021-07-20T09:54:03Z,2023-11-30T14:13:27Z,665f39f9eef319f64ee080f6,6660219ed70bea06e9ff6ae9
Improve search functionality,Bug,Closed,Low,5/8/2023,7/21/2024,UI/Design,Critical,Development,"Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis. Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem. Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci.",2022-12-24T07:51:08Z,2022-12-18T11:54:46Z,666011d01cc6e634de0ff70d,6660219ed70bea06e9ff6ade
Login button not responsive,Bug,Closed,High,4/10/2023,1/1/2024,Performance,Minor,QA,"Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum. Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est. Phasellus sit amet erat. Nulla tempus.",2021-01-09T20:26:39Z,2023-06-25T15:32:05Z,666011d01cc6e634de0ff70d,6660219ed70bea06e9ff6ade
Implement pagination for search results,Bug,In Progress,High,3/8/2023,5/20/2023,Tracking,Minor,Production,"Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem. Fusce consequat. Nulla nisl. Nunc nisl. Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus.",2021-10-10T23:51:35Z,2022-06-13T00:47:09Z,665f39f9eef319f64ee080f6,6660219ed70bea06e9ff6ad9
Update UI design for homepage,Bug,Open,Low,8/17/2022,8/22/2024,UI/Design,Minor,QA,"Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem. Fusce consequat. Nulla nisl.",2021-08-14T13:58:23Z,2022-07-09T19:12:51Z,666011d01cc6e634de0ff70d,6660219ed70bea06e9ff6ae2
Login button not responsive,Task,Closed,Medium,2/13/2023,6/23/2023,Console Error,Major,Staging,"In quis justo. Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet. Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui. Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam.",2022-06-06T14:54:15Z,2023-08-21T09:24:07Z,665f39f9eef319f64ee080f6,6660219ed70bea06e9ff6ae9
Product image not loading on details page,Bug,In Progress,High,4/1/2023,9/21/2023,Functionality,Major,Staging,"Morbi non quam nec dui luctus rutrum. Nulla tellus. In sagittis dui vel nisl. Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus.",2021-06-17T07:23:42Z,2022-05-25T10:14:08Z,666011d01cc6e634de0ff70d,6660219ed70bea06e9ff6ae2
Improve checkout process,Bug,In Progress,Medium,4/18/2023,10/21/2023,Server Error,Major,Production,"Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo. Morbi ut odio. Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue.",2021-10-13T20:20:11Z,2023-11-16T20:28:55Z,665f39f9eef319f64ee080f6,6660219ed70bea06e9ff6ade
Improve checkout process,Bug,Open,Low,9/8/2023,4/6/2023,UI/Design,Critical,QA,"Praesent blandit. Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede. Morbi porttitor lorem id ligula.",2021-08-14T19:28:23Z,2023-03-25T13:25:21Z,666011d01cc6e634de0ff70d,6660219ed70bea06e9ff6ae2
Improve checkout process,Bug,Closed,High,8/9/2022,8/4/2023,Server Error,Major,Staging,"Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis. Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem.",2022-03-08T20:10:26Z,2022-08-08T17:59:31Z,665f39f9eef319f64ee080f6,6660219ed70be
Update UI design for homepage,Improvement,In Progress,Medium,6/14/2023,4/30/2024,Performance,Critical,Production,"Integer a nibh. In quis justo. Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet. Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam.",2021-09-08T00:00:12Z,2023-08-04T03:24:36Z,665f39f9eef319f64ee080f6,6660219ed70bea06e9ff6ade
Update error messages for login,Improvement,In Progress,High,2/16/2023,2/5/2023,Server Error,Critical,QA,Ut tellus. Nulla ut erat id mauris vulputate elementum. Nullam varius. Nulla facilisi.,2022-04-29T03:52:27Z,2023-08-16T16:30:15Z,666011d01cc6e634de0ff70d,6660219ed70bea06e9ff6ade
Product image not loading on details page,Task,Open,Medium,1/30/2023,7/29/2024,Server Error,Critical,Staging,"Quisque ut erat. Curabitur gravida nisi at nibh. In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem.",2021-12-24T22:07:23Z,2024-08-15T22:10:28Z,665f39f9eef319f64ee080f6,6660219ed70be
Optimize database queries,Bug,Open,Low,7/16/2023,1/19/2023,Performance,Critical,Staging,Mauris lacinia sapien quis libero. Nullam sit amet turpis elementum ligula vehicula consequat.,2021-03-06T07:38:22Z,2022-03-28T02:35:29Z,666011d01cc6e634de0ff70d,6660219ed70bea06e9ff6ae3
Update UI design for homepage,Improvement,Closed,Low,12/28/2022,2/20/2024,Tracking,Minor,Development,"Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl. Aenean lectus. Pellentesque eget nunc.",2022-03-15T20:27:11Z,2022-02-25T01:32:31Z,666011d01cc6e634de0ff70d,6660219ed70bea06e9ff6ae8
Update error messages for login,Task,Open,High,2/13/2023,6/18/2024,Performance,Critical,Production,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti. Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum.,2021-10-13T05:00:42Z,2023-09-10T10:36:50Z,665f39f9eef319f64ee080f6,6660219ed70bea06e9ff6ad8
Improve search functionality,Improvement,Open,High,12/7/2022,8/21/2023,Tracking,Major,Staging,"Aenean lectus. Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum. Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est. Phasellus sit amet erat. Nulla tempus.",2021-05-31T15:01:21Z,2024-07-22T16:47:26Z,666011d01cc6e634de0ff70d,6660219ed70bea06e9ff6ae9
Update UI design for homepage,Bug,Open,Low,1/15/2023,5/23/2023,SEO,Critical,QA,Etiam pretium iaculis justo. In hac habitasse platea dictumst. Etiam faucibus cursus urna. Ut tellus. Nulla ut erat id mauris vulputate elementum. Nullam varius.,2022-07-25T13:19:46Z,2023-03-13T19:54:10Z,666011d01cc6e634de0ff70d,6660219ed70bea06e9ff6ae0
Improve checkout process,Bug,Closed,Low,2/15/2023,11/20/2023,Performance,Minor,Development,"Aenean sit amet justo. Morbi ut odio. Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",2022-05-23T22:48:32Z,2024-04-18T20:42:06Z,665f39f9eef319f64ee080f6,6660219ed70bea06e9ff6adb
Improve search functionality,Improvement,Open,Medium,12/23/2022,2/23/2023,Tracking,Minor,Staging,"Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Etiam vel augue. Vestibulum rutrum rutrum neque. Aenean auctor gravida sem.",2021-04-26T08:48:03Z,2022-05-21T15:34:42Z,666011d01cc6e634de0ff70d,6660219ed70bea06e9ff6ae4
Update error messages for login,Task,Open,Medium,9/14/2023,1/9/2024,Server Error,Critical,Production,"In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem. Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy. Integer non velit. Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque. Duis bibendum.",2021-11-08T16:07:08Z,2022-09-05T04:13:57Z,666011d01cc6e634de0ff70d,6660219ed70be
Improve search functionality,Task,Closed,High,9/5/2022,8/20/2024,Functionality,Critical,Development,Suspendisse accumsan tortor quis turpis. Sed ante.,2021-06-08T17:19:43Z,2023-02-26T12:08:35Z,666011d01cc6e634de0ff70d,6660219ed70bea06e9ff6ae4
Fix broken links on product details page,Improvement,Closed,High,9/18/2022,3/15/2024,Functionality,Minor,QA,Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros. Suspendisse accumsan tortor quis turpis. Sed ante. Vivamus tortor. Duis mattis egestas metus.,2022-06-08T00:10:04Z,2022-12-01T17:14:49Z,665f39f9eef319f64ee080f6,6660219ed70bea06e9ff6ae4
Update error messages for login,Bug,Open,High,12/10/2022,4/13/2024,Functionality,Major,Production,"Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque. Duis bibendum. Morbi non quam nec dui luctus rutrum. Nulla tellus. In sagittis dui vel nisl.",2022-02-14T14:33:47Z,2023-01-17T03:38:56Z,665f39f9eef319f64ee080f6,6660219ed70bea06e9ff6adf
Fix server error on checkout,Improvement,In Progress,High,1/17/2023,6/29/2023,UI/Design,Minor,Staging,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin risus. Praesent lectus. Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis.",2022-12-12T23:37:55Z,2023-10-04T21:45:24Z,665f39f9eef319f64ee080f6,6660219ed70bea06e9ff6ade
Fix broken links on product details page,Improvement,Open,Low,2/6/2023,7/25/2023,Functionality,Critical,QA,"Vivamus in felis eu sapien cursus vestibulum. Proin eu mi. Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem.",2021-05-30T05:07:52Z,2023-05-15T19:35:45Z,666011d01cc6e634de0ff70d,6660219ed70bea06e9ff6adf
Improve search functionality,Bug,Closed,Low,12/27/2022,8/7/2023,Functionality,Minor,Development,"Morbi vel lectus in quam fringilla rhoncus. Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis.",2022-07-24T03:55:26Z,2022-05-19T03:20:23Z,666011d01cc6e634de0ff70d,6660219ed70bea06e9ff6ad9
Improve search functionality,Bug,In Progress,Low,2/26/2023,6/5/2024,Performance,Minor,Development,"Cras pellentesque volutpat dui. Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam.",2022-07-06T21:02:18Z,2023-07-13T16:19:00Z,665f39f9eef319f64ee080f6,6660219ed70bea06e9ff6ae7
Implement pagination for search results,Improvement,Open,Medium,4/22/2023,6/4/2024,SEO,Critical,Development,"Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin interdum mauris non ligula pellentesque ultrices.",2021-09-29T14:02:26Z,2023-10-23T12:42:14Z,665f39f9eef319f64ee080f6,6660219ed70bea06e9ff6ae3
Fix server error on checkout,Bug,In Progress,Medium,4/2/2023,12/13/2022,Tracking,Major,Staging,"Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem. Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat. Praesent blandit. Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede.",2022-05-28T05:50:48Z,2022-01-10T17:27:54Z,666011d01cc6e634de0ff70d,6660219ed70bea06e9ff6ae4
